no,name_en,name_zh,abbr,family,genus,baltimore,genome,enveloped,transmission,zoonotic,reservoir,disease,vaccine
30,Kaposi sarcoma-associated herpesvirus,卡波西肉瘤相关疱疹病毒,KSHV / HHV-8,Orthoherpesviridae,Rhadinovirus,I,dsDNA 线性,有,唾液/性接触,N,human,卡波西肉瘤、原发渗出性淋巴瘤,无
31,B virus (Macacine alphaherpesvirus 1),B病毒（猕猴疱疹病毒1型）,BV,Orthoherpesviridae,Simplexvirus,I,dsDNA 线性,有,猕猴咬伤/抓伤/体液,Y,猕猴属,人感染罕见但病死率极高的脑脊髓炎,无
32,Hepatitis A virus,甲型肝炎病毒,HAV,Picornaviridae,Hepatovirus,IV,ssRNA(+) 不分节,无,粪口/污染食物水,N,human,急性甲型肝炎，不转慢性,有
33,Hepatitis B virus,乙型肝炎病毒,HBV,Hepadnaviridae,Orthohepadnavirus,VII,部分dsDNA 环状，逆转录复制,有,血液/性接触/垂直传播,N,human,慢性乙肝、肝硬化、肝细胞癌,有
34,Hepatitis C virus,丙型肝炎病毒,HCV,Flaviviridae,Hepacivirus,IV,ssRNA(+) 不分节,有,血液（输血、共用针具）,N,human,慢性丙肝、肝硬化、肝癌；DAA 可治愈,无
35,Hepatitis D virus,丁型肝炎病毒,HDV,Kolmioviridae,Deltavirus,V,ssRNA(-) 环状，类病毒样,有（借用HBsAg）,与HBV同途径,N,human,需 HBV 辅助；重叠感染加速肝硬化,无（经乙肝疫苗间接预防）
36,Hepatitis E virus,戊型肝炎病毒,HEV,Hepeviridae,Paslahepevirus,IV,ssRNA(+) 不分节,无（粪便中）,粪口；基因4型经猪肉,Y,猪、野猪、鹿（基因3/4型）,急性戊肝；孕妇病死率高,有（Hecolin，仅中国上市）
37,Rotavirus A,A组轮状病毒,RVA,Sedoreoviridae,Rotavirus,III,dsRNA 分11节段,无,粪口,Y,牛、猪（重配可跨种）,婴幼儿重症腹泻,有（口服减毒活疫苗）
38,Norovirus GI/GII,诺如病毒GI/GII,NoV,Caliciviridae,Norovirus,IV,ssRNA(+) 不分节,无,粪口/呕吐物气溶胶/贝类,N,human,急性胃肠炎暴发（邮轮、学校）,无
39,Sapovirus,札如病毒,SaV,Caliciviridae,Sapovirus,IV,ssRNA(+) 不分节,无,粪口,N,human,儿童及成人胃肠炎,无
40,Human astrovirus,人星状病毒,HAstV,Astroviridae,Mamastrovirus,IV,ssRNA(+) 不分节,无,粪口,N,human,儿童腹泻,无
41,Enteric adenovirus F40/41,肠道腺病毒F40/41,HAdV-F,Adenoviridae,Mastadenovirus,I,dsDNA 线性,无,粪口,N,human,婴幼儿腹泻,无
42,Poliovirus 1-3,脊髓灰质炎病毒1-3型,PV,Picornaviridae,Enterovirus,IV,ssRNA(+) 不分节,无,粪口,N,human,脊髓灰质炎（急性弛缓性麻痹）,有（OPV/IPV）
43,Coxsackievirus A16,柯萨奇病毒A16,CVA16,Picornaviridae,Enterovirus,IV,ssRNA(+) 不分节,无,粪口/接触疱液,N,human,手足口病,无
44,Coxsackievirus B1-6,柯萨奇病毒B组,CVB,Picornaviridae,Enterovirus,IV,ssRNA(+) 不分节,无,粪口,N,human,心肌炎、无菌性脑膜炎、胸膜痛,无
45,Echovirus,埃可病毒,E,Picornaviridae,Enterovirus,IV,ssRNA(+) 不分节,无,粪口,N,human,无菌性脑膜炎、新生儿脓毒症样病,无
46,Enterovirus A71,肠道病毒A71,EV-A71,Picornaviridae,Enterovirus,IV,ssRNA(+) 不分节,无,粪口/接触,N,human,手足口病合并脑干脑炎,有（仅中国上市）
47,Enterovirus D68,肠道病毒D68,EV-D68,Picornaviridae,Enterovirus,IV,ssRNA(+) 不分节,无,飞沫/粪口,N,human,严重喘息；与急性弛缓性脊髓炎相关,无
48,Parechovirus A,人副肠孤病毒A,PeV-A,Picornaviridae,Parechovirus,IV,ssRNA(+) 不分节,无,粪口/飞沫,N,human,新生儿脓毒症样病、脑炎,无
49,Aichi virus A,爱知病毒A,AiV,Picornaviridae,Kobuvirus,IV,ssRNA(+) 不分节,无,粪口/生食贝类,N,human,胃肠炎,无
50,Human immunodeficiency virus 1,人类免疫缺陷病毒1型,HIV-1,Retroviridae,Lentivirus,VI,ssRNA(+) 二倍体，逆转录,有,性接触/血液/垂直传播,Y,黑猩猩（SIVcpz 跨种起源）,艾滋病,无（ART 可控）
51,Human immunodeficiency virus 2,人类免疫缺陷病毒2型,HIV-2,Retroviridae,Lentivirus,VI,ssRNA(+) 二倍体，逆转录,有,性接触/血液,Y,乌黑白眉猴（SIVsmm 起源）,艾滋病，进展较慢，西非为主,无
52,Human T-lymphotropic virus 1,人类嗜T淋巴细胞病毒1型,HTLV-1,Retroviridae,Deltaretrovirus,VI,ssRNA(+) 二倍体，逆转录,有,母乳/性接触/血液,N,human,成人T细胞白血病、HTLV相关脊髓病,无
53,Human T-lymphotropic virus 2,人类嗜T淋巴细胞病毒2型,HTLV-2,Retroviridae,Deltaretrovirus,VI,ssRNA(+) 二倍体，逆转录,有,共用针具/母乳,N,human,多为无症状；偶见神经病变,无
54,Human papillomavirus 16,人乳头瘤病毒16型,HPV-16,Papillomaviridae,Alphapapillomavirus,I,dsDNA 环状,无,性接触/皮肤黏膜接触,N,human,宫颈癌、口咽癌（高危型主因）,有（二/四/九价）
55,Human papillomavirus 18,人乳头瘤病毒18型,HPV-18,Papillomaviridae,Alphapapillomavirus,I,dsDNA 环状,无,性接触,N,human,宫颈腺癌（高危型）,有
56,Human papillomavirus 6/11,人乳头瘤病毒6/11型,HPV-6/11,Papillomaviridae,Alphapapillomavirus,I,dsDNA 环状,无,性接触/垂直传播,N,human,生殖器疣、复发性呼吸道乳头瘤病,有（四价及以上）
57,BK polyomavirus,BK多瘤病毒,BKPyV,Polyomaviridae,Betapolyomavirus,I,dsDNA 环状,无,呼吸道/尿；儿童期普遍感染,N,human,肾移植者多瘤病毒肾病、出血性膀胱炎,无
58,JC polyomavirus,JC多瘤病毒,JCPyV,Polyomaviridae,Betapolyomavirus,I,dsDNA 环状,无,呼吸道/消化道,N,human,进行性多灶性白质脑病（免疫抑制者）,无
59,Merkel cell polyomavirus,梅克尔细胞多瘤病毒,MCPyV,Polyomaviridae,Alphapolyomavirus,I,dsDNA 环状,无,皮肤接触,N,human,梅克尔细胞癌,无
60,Parvovirus B19,细小病毒B19,B19V,Parvoviridae,Erythroparvovirus,II,ssDNA 线性,无,飞沫/血液/垂直传播,N,human,传染性红斑；再障危象；胎儿水肿,无
61,Human bocavirus 1,人博卡病毒1型,HBoV1,Parvoviridae,Bocaparvovirus,II,ssDNA 线性,无,飞沫/粪口,N,human,儿童呼吸道感染、喘息,无
62,Torque teno virus,细环病毒,TTV,Anelloviridae,Alphatorquevirus,II,ssDNA 环状,无,血液/粪口/多途径,N,human,无明确致病性；作为免疫功能标志物研究,无
63,Mpox virus,猴痘病毒,MPXV,Poxviridae,Orthopoxvirus,I,dsDNA 线性,有,接触皮损/飞沫/性接触,Y,非洲啮齿类（松鼠、睡鼠）,猴痘；2022年起全球人际传播,有（MVA-BN）
64,Variola virus,天花病毒,VARV,Poxviridae,Orthopoxvirus,I,dsDNA 线性,有,气溶胶/接触,N,human,天花；1980年宣布消灭,有（战略储备）
65,Vaccinia virus,痘苗病毒,VACV,Poxviridae,Orthopoxvirus,I,dsDNA 线性,有,接种部位接触,Y(spillover),实验室/疫苗株；野外宿主未明,接种并发症；用作疫苗载体,本身即天花疫苗
66,Cowpox virus,牛痘病毒,CPXV,Poxviridae,Orthopoxvirus,I,dsDNA 线性,有,接触感染动物,Y,野生啮齿类（猫为常见传播媒介）,局部皮肤痘疮性损害,无（天花疫苗有交叉保护）
67,Molluscum contagiosum virus,传染性软疣病毒,MCV,Poxviridae,Molluscipoxvirus,I,dsDNA 线性,有,直接接触/性接触/污染物,N,human,传染性软疣,无
68,Orf virus,羊口疮病毒,ORFV,Poxviridae,Parapoxvirus,I,dsDNA 线性,有,接触病羊口鼻,Y,绵羊、山羊,挤奶工结节／羊痘样皮损,无（有兽用疫苗）
69,Dengue virus 1-4,登革病毒1-4型,DENV,Flaviviridae,Orthoflavivirus,IV,ssRNA(+) 不分节,有,埃及伊蚊/白纹伊蚊,Y(sylvatic),人-蚊循环为主；森林型有灵长类,登革热、重症登革,有（Dengvaxia、Qdenga）
70,Zika virus,寨卡病毒,ZIKV,Flaviviridae,Orthoflavivirus,IV,ssRNA(+) 不分节,有,伊蚊/性接触/垂直传播,Y(sylvatic),非洲有猴-蚊循环,寨卡热；先天性小头畸形,无
71,West Nile virus,西尼罗病毒,WNV,Flaviviridae,Orthoflavivirus,IV,ssRNA(+) 不分节,有,库蚊,Y,鸟类（人与马为终末宿主）,西尼罗热、脑炎,无人用疫苗（有马用）
72,Japanese encephalitis virus,乙型脑炎病毒,JEV,Flaviviridae,Orthoflavivirus,IV,ssRNA(+) 不分节,有,三带喙库蚊,Y,涉禽与猪（猪为扩增宿主）,流行性乙型脑炎,有
73,Yellow fever virus,黄热病毒,YFV,Flaviviridae,Orthoflavivirus,IV,ssRNA(+) 不分节,有,伊蚊/趋血蚊,Y,非洲与南美灵长类,黄热病,有（17D 减毒活疫苗）
74,Tick-borne encephalitis virus,蜱传脑炎病毒,TBEV,Flaviviridae,Orthoflavivirus,IV,ssRNA(+) 不分节,有,硬蜱叮咬；未灭菌生乳,Y,小型啮齿类与蜱,蜱传脑炎,有
75,St. Louis encephalitis virus,圣路易斯脑炎病毒,SLEV,Flaviviridae,Orthoflavivirus,IV,ssRNA(+) 不分节,有,库蚊,Y,鸟类,脑炎（美洲）,无
76,Kyasanur Forest disease virus,基萨那森林病病毒,KFDV,Flaviviridae,Orthoflavivirus,IV,ssRNA(+) 不分节,有,硬蜱叮咬,Y,猴、啮齿类（印度西南部）,出血热合并脑炎,有（印度地区性使用）
77,Powassan virus,波瓦生病毒,POWV,Flaviviridae,Orthoflavivirus,IV,ssRNA(+) 不分节,有,硬蜱叮咬,Y,啮齿类、土拨鼠,脑炎，后遗症率高（北美）,无
78,Chikungunya virus,基孔肯雅病毒,CHIKV,Togaviridae,Alphavirus,IV,ssRNA(+) 不分节,有,伊蚊,Y(sylvatic),非洲有灵长类循环,发热合并长期多关节炎,有（2023年起获批）
79,Ross River virus,罗斯河病毒,RRV,Togaviridae,Alphavirus,IV,ssRNA(+) 不分节,有,蚊（澳大利亚）,Y,有袋类（袋鼠、小袋鼠）,流行性多关节炎,无
80,Eastern equine encephalitis virus,东方马脑炎病毒,EEEV,Togaviridae,Alphavirus,IV,ssRNA(+) 不分节,有,蚊,Y,鸟类（人马为终末宿主）,脑炎，病死率高,无人用疫苗（有马用）
81,Western equine encephalitis virus,西方马脑炎病毒,WEEV,Togaviridae,Alphavirus,IV,ssRNA(+) 不分节,有,蚊,Y,鸟类,脑炎,无人用疫苗
82,Venezuelan equine encephalitis virus,委内瑞拉马脑炎病毒,VEEV,Togaviridae,Alphavirus,IV,ssRNA(+) 不分节,有,蚊,Y,啮齿类与马,发热、脑炎,无人用疫苗（有马用）
83,O'nyong-nyong virus,奥尼翁尼翁病毒,ONNV,Togaviridae,Alphavirus,IV,ssRNA(+) 不分节,有,按蚊（非洲）,N,human（媒介为按蚊，罕见非人宿主）,发热、关节痛、皮疹,无
84,Mayaro virus,马亚罗病毒,MAYV,Togaviridae,Alphavirus,IV,ssRNA(+) 不分节,有,趋血蚊（南美）,Y,非人灵长类,发热合并关节炎,无
85,Hantaan orthohantavirus,汉滩病毒,HTNV,Hantaviridae,Orthohantavirus,V,ssRNA(-) 分3节段,有,啮齿类排泄物气溶胶,Y,黑线姬鼠,肾综合征出血热（重型）,有（韩国/中国地区性使用）
86,Seoul orthohantavirus,汉城病毒,SEOV,Hantaviridae,Orthohantavirus,V,ssRNA(-) 分3节段,有,褐家鼠排泄物气溶胶,Y,褐家鼠（全球分布）,肾综合征出血热（中型）,部分地区可用
87,Puumala orthohantavirus,普马拉病毒,PUUV,Hantaviridae,Orthohantavirus,V,ssRNA(-) 分3节段,有,啮齿类排泄物气溶胶,Y,欧鮃（岸鼠）,流行性肾病（轻型HFRS）,无
88,Sin Nombre orthohantavirus,辛诺柏病毒,SNV,Hantaviridae,Orthohantavirus,V,ssRNA(-) 分3节段,有,鹿鼠排泄物气溶胶,Y,鹿鼠,汉坦病毒肺综合征，病死率高,无
89,Andes orthohantavirus,安第斯病毒,ANDV,Hantaviridae,Orthohantavirus,V,ssRNA(-) 分3节段,有,啮齿类气溶胶；可人际传播,Y,长尾侏儒稻鼠,汉坦病毒肺综合征；唯一确证人传人的汉坦病毒,无
90,Crimean-Congo hemorrhagic fever virus,克里米亚-刚果出血热病毒,CCHFV,Nairoviridae,Orthonairovirus,V,ssRNA(-) 分3节段,有,璃眼蜱叮咬/接触畜血/院内传播,Y,家畜（牛羊）与蜱,克里米亚-刚果出血热,无广泛获批疫苗
91,Rift Valley fever virus,裂谷热病毒,RVFV,Phenuiviridae,Phlebovirus,V,ssRNA(-) 分3节段,有,蚊叮咬/接触感染畜体液,Y,牛、羊、骆驼,裂谷热；畜群流产暴发,无人用疫苗（有兽用）
92,Dabie bandavirus (SFTSV),发热伴血小板减少综合征病毒,SFTSV,Phenuiviridae,Bandavirus,V,ssRNA(-) 分3节段,有,长角血蜱叮咬；接触血液可人际传播,Y,蜱；家畜与犬猫可带毒,发热伴血小板减少综合征,无
93,Oropouche virus,奥罗普切病毒,OROV,Peribunyaviridae,Orthobunyavirus,V,ssRNA(-) 分3节段,有,库蠓（Culicoides paraensis）,Y,树懒、非人灵长类,奥罗普切热；2024年南美大规模暴发,无
94,Toscana virus,托斯卡纳病毒,TOSV,Phenuiviridae,Phlebovirus,V,ssRNA(-) 分3节段,有,白蛉叮咬,Y,白蛉（可经卵传递）,无菌性脑膜炎（地中海地区夏季主因）,无
95,La Crosse virus,拉克罗斯病毒,LACV,Peribunyaviridae,Orthobunyavirus,V,ssRNA(-) 分3节段,有,三列伊蚊,Y,花栗鼠、松鼠,儿童脑炎（美国中西部）,无
96,Ebola virus (Zaire),埃博拉病毒（扎伊尔型）,EBOV,Filoviridae,Orthoebolavirus,V,ssRNA(-) 不分节,有,接触体液/尸体,Y,果蝠（推定）,埃博拉出血热,有（Ervebo 等）
97,Sudan virus,苏丹病毒,SUDV,Filoviridae,Orthoebolavirus,V,ssRNA(-) 不分节,有,接触体液,Y,果蝠（推定）,埃博拉病（苏丹型）,无获批疫苗
98,Marburg virus,马尔堡病毒,MARV,Filoviridae,Orthomarburgvirus,V,ssRNA(-) 不分节,有,接触体液；矿洞蝙蝠暴露,Y,埃及果蝠,马尔堡出血热,无获批疫苗
99,Lassa virus,拉沙病毒,LASV,Arenaviridae,Mammarenavirus,V,ssRNA(-) 分2节段（双义）,有,啮齿类排泄物；院内传播,Y,多乳鼠（Mastomys natalensis）,拉沙热；后遗耳聋常见,无获批疫苗
100,Lymphocytic choriomeningitis virus,淋巴细胞脉络丛脑膜炎病毒,LCMV,Arenaviridae,Mammarenavirus,V,ssRNA(-) 分2节段（双义）,有,小鼠/仓鼠排泄物；器官移植,Y,小家鼠,无菌性脑膜炎；先天感染致脑积水,无
101,Machupo virus,马丘波病毒,MACV,Arenaviridae,Mammarenavirus,V,ssRNA(-) 分2节段（双义）,有,啮齿类排泄物,Y,暮鼠属（Calomys callosus）,玻利维亚出血热,无
102,Junin virus,胡宁病毒,JUNV,Arenaviridae,Mammarenavirus,V,ssRNA(-) 分2节段（双义）,有,啮齿类排泄物气溶胶,Y,暮鼠属（Calomys musculinus）,阿根廷出血热,有（Candid#1，阿根廷）
103,Australian bat lyssavirus,澳大利亚蝙蝠狂犬病毒,ABLV,Rhabdoviridae,Lyssavirus,V,ssRNA(-) 不分节,有,蝙蝠咬伤/抓伤,Y,果蝠、食虫蝠,狂犬病样脑炎；人间病例极少,狂犬疫苗可交叉保护
104,Rabies lyssavirus,狂犬病病毒,RABV,Rhabdoviridae,Lyssavirus,V,ssRNA(-) 不分节,有,咬伤/抓伤唾液暴露,Y,犬、蝙蝠、狐、浣熊、臭鼬,狂犬病；发病后近乎100%致死,有（暴露前后均可用）
105,Vesicular stomatitis virus,水疱性口炎病毒,VSV,Rhabdoviridae,Vesiculovirus,V,ssRNA(-) 不分节,有,接触病畜/白蛉与蚋叮咬,Y,牛、马、猪,轻症流感样病；广泛用作疫苗与溶瘤载体,无（有兽用）
106,Nipah virus,尼帕病毒,NiV,Paramyxoviridae,Henipavirus,V,ssRNA(-) 不分节,有,果蝠污染的椰枣汁/接触猪/人际传播,Y,狐蝠属果蝠,脑炎与呼吸窘迫，病死率极高,无获批疫苗
107,Hendra virus,亨德拉病毒,HeV,Paramyxoviridae,Henipavirus,V,ssRNA(-) 不分节,有,接触感染马,Y,狐蝠属果蝠（马为中间宿主）,呼吸道与脑炎综合征,无人用疫苗（有马用）
108,Newcastle disease virus,新城疫病毒,NDV,Paramyxoviridae,Orthoavulavirus,V,ssRNA(-) 不分节,有,接触感染禽/气溶胶,Y,家禽与野鸟,人感染多为自限性结膜炎,无人用疫苗（有禽用）
109,Colorado tick fever virus,科罗拉多蜱传热病毒,CTFV,Spinareoviridae,Coltivirus,III,dsRNA 分12节段,无,安氏革蜱叮咬,Y,小型哺乳动物与蜱,双相热、白细胞减少,无
