SampleID,label,Influenza,BioProject,HostGroup,HostType,Season,Age,Sex,Feeding,Species,Location,month,Sphingobacterium__4966214a,Pedobacter__e5eb02f3,Sphingobacteriaceae__736f2237,Parabacteroides__ef4b9171,Bacteroides__a13d2ac8,Prevotellaceae_Ga6A1_group__408c8c2d,Prevotellaceae__282df84e,Incertae_Sedis__32018bce,Prevotella__8ef7520d,Porphyromonas__c465f577,Bacteroidales__8e7f285d,H1__5c1b884f,Flavobacterium__63d393fc,Atopobium__81d6cbdb,Arcanobacterium__4c9ad755,Micrococcales__9eb9acee,Rothia__da821e0a,Lawsonella__30d3ed51,Varibaculum__84b87a55,Schaalia__ed995199,Stenotrophomonas__a6eadb2d,Escherichia-Shigella__6e37ae39,Pasteurellaceae__5a64a6f1,Psittacicella__f8bb29a5,Comamonadaceae__c51976b3,Moraxella__00b629e3,Pseudomonas__13b2a473,Halomonas__7333e261,unclassified__0c9e3ed5,Fusibacter__adc4c72e,Desulfovibrio__5d53bfb2,Brevundimonas__da6b37f3,Methylobacterium__1458f1e7,Clostridium__98fcf594,Bacillota__9ccfad18,Mageeibacillus__816bc635,Colidextribacter__d74cd658,UCG-005__4ce32c4e,Oscillospiraceae__ca53da73,Faecalibacterium__a50e8f12,Incertae_Sedis__efb1124a,Ruminococcaceae__0775e59c,Caecibacterium__9265d514,Campylobacter__af35970d,Helicobacter__acc07901,Lachnospiraceae_UCG-010__5bd5c394,Lachnospiraceae__cafeeea8,Incertae_Sedis__03d08b31,Peptoniphilus__172051db,Parvimonas__e9165b84,Peptococcus__e616d0c9,Candidatus_Arthromitus__04c4a458,Streptococcus__bf0a5e99,Gemella__da6858e2,Staphylococcus__463b2f04,Catellicoccus__f52c8cce,Lactobacillales__8ad1796f,Mycoplasmataceae__8e450566,Thomasclavelia__c4abcba6,Incertae_Sedis__b81519f9,Megamonas__97771191,Veillonellaceae__e56b0756,Veillonellales-Selenomonadales__eb04e82f,Veillonella__6718eb07,Phascolarctobacterium__1683506d,Fusobacterium__0daf4b3d,Incertae_Sedis__c3a9c557,Oceanivirga__5702680e,Leptotrichiaceae__d27439ff,Cetobacterium__024cc2ba
SRR7146589,1,Pos,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",12.0,0,0,0,0,0,0,0,0,13,468,0,0,46,0,0,1,4,0,4,0,0,0,15,89,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,32,2933,0,0,566,0,0,8,0,1,19,17,23,0,24,0,0,0,0,0,11,39,0,181,396,18,71,0
SRR7146590,1,Pos,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",12.0,23,0,0,0,8,0,0,0,28,1406,0,0,322,0,0,0,25,0,3,0,13,0,147,362,0,0,27,0,172,0,0,29,0,0,0,0,0,0,0,0,0,16,0,1530,7,0,38,0,0,0,0,66,62,0,0,0,0,15,0,11,0,69,0,143,0,332,0,0,129,0
SRR7146591,1,Pos,PRJNA464410,Duck,Duck,FW,H,U,dabbling,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",10.0,0,0,0,40,272,58,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,8,0,0,5,2,20,0,0,7,4,370,54,0,13,0,0,0,0,0,1,0,0,0,0,0,3,0,7,0,0,1,0,4091,0,0,22,0
SRR7146592,1,Pos,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anasacuta,"ConawayRanch,YoloCounty",11.0,0,0,0,0,12,11,2,0,0,133,0,0,1,12,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,25,0,2,0,32,0,0,1,0,0,0,0,0,3,3720,6,0,288,0,0,2,0,0,9,0,0,0,0,0,0,0,7,2,0,1,2,677,0,0,39,10
SRR7146593,1,Pos,PRJNA464410,Duck,Duck,FW,U,F,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",11.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,131,4825,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,6,1,6,0
SRR7146595,1,Pos,PRJNA464410,Duck,Duck,FW,U,F,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",11.0,0,0,0,2,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2534,2279,2,0,67,0,0,0,0,0,0,0,0,0,29,0,0,0,0,7,0,0,0,18,0,0,1,0
SRR7146596,1,Pos,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anascarolinensis,"ConawayRanch,YoloCounty",11.0,0,0,0,0,10,0,45,0,14,97,0,2,55,0,0,0,18,0,0,0,4,0,11,12,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,2,185,2625,4,0,90,0,0,7,0,0,22,2,0,0,538,2,0,4,15,16,0,53,0,19,0,0,1135,2
SRR7146598,1,Pos,PRJNA464410,Duck,Duck,FW,H,M,dabbling,Anasacuta,"ConawayRanch,YoloCounty",11.0,0,0,0,2,119,44,31,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,332,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5,2,0,8,8,2223,0,1,6,0,0,2,0,0,3,0,0,0,4,0,0,0,12,1,0,7,12,1936,1,0,211,0
SRR7146599,1,Pos,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",11.0,0,0,0,0,14,4,0,0,3,314,7,0,0,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1444,2826,19,0,51,0,0,6,0,0,0,0,0,0,0,0,0,5,0,9,0,7,2,53,181,0,5,12
SRR7146601,1,Pos,PRJNA464410,Duck,Duck,FW,H,F,dabbling,Anascarolinensis,"ConawayRanch,YoloCounty",10.0,0,0,0,0,1,0,0,0,5,5,0,0,13,0,0,0,8,0,0,0,0,0,0,198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,3888,4,0,13,0,0,0,0,0,7,0,0,0,3,1,0,0,0,0,0,29,0,177,0,0,306,0
SRR7146602,1,Pos,PRJNA464410,Duck,Duck,FW,H,M,dabbling,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1401,0,0,4,0,2,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,3456,0,0,50,0
SRR7146603,0,Neg,PRJNA464410,Duck,Duck,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,0,1,24,6,0,0,0,993,2,0,7,5,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,30,0,0,0,0,0,0,3,0,3,0,4,0,4,3213,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,39,0,8,0,0,3,166,398,19,31,0
SRR7146604,0,Neg,PRJNA464410,Duck,Duck,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,6,0,5,0,12,0,8,0,0,229,0,0,43,0,0,0,0,0,1,0,0,0,5,0,10,0,8,2,0,377,0,7,1,0,0,0,0,0,0,0,0,0,697,1665,0,0,114,0,0,11,0,0,0,0,8,47,6,0,0,18,0,6,0,0,0,19,0,5,0,1685
SRR7146605,0,Neg,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,0,0,1,0,0,0,0,33,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,1,0,0,3,4,0,0,0,0,0,0,0,3580,0,0,36,0,0,0,1,0,0,0,3,0,0,1092,0,0,0,0,54,6,0,8,141,0,2,0
SRR7146606,0,Neg,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,0,0,309,10,0,0,44,99,0,0,6,0,0,0,48,0,0,1,0,0,13,206,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,1605,0,0,184,0,0,61,0,0,89,1,0,0,12,4,0,2,0,149,0,334,0,203,543,0,1070,0
SRR7146607,0,Neg,PRJNA464410,Duck,Duck,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,0,162,1611,88,0,0,0,192,28,0,39,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,29,780,83,18,0,54,0,604,0,67,104,0,0,35,0,0,0,0,0,6,0,0,84,17,0,35,0,0,0,41,216,17,18,637
SRR7146608,0,Neg,PRJNA464410,Duck,Duck,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,27,4902,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,13
SRR7146610,0,Neg,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,0,2,1067,177,222,0,3,347,199,0,1,58,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,11,12,31,5,23,62,45,1952,0,6,60,2,0,72,4,0,0,0,0,0,0,0,18,17,15,18,0,0,8,59,239,0,68,0
SRR7146611,0,Neg,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,0,0,35,9,3,0,0,460,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1591,0,0,31,0,0,0,0,0,4,0,0,0,3,2,0,0,5,28,0,32,0,541,2155,0,65,0
SRR7146612,1,Pos,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0,0,0,0,0,0,0,0,0,21,11,0,0,3,0,0,0,35,0,0,7,0,0,27,0,0,0,0,9,0,0,0,0,0,0,25,38,0,0,0,0,0,0,0,3597,0,0,802,0,0,0,0,0,69,19,15,0,20,59,0,0,0,0,0,237,0,0,0,0,6,0
SRR7146613,1,Pos,PRJNA464410,Duck,Duck,FW,H,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",10.0,0,0,0,0,11,0,0,0,4,0,0,0,33,0,0,0,7,0,0,0,0,0,314,18,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,91,0,3480,0,0,153,0,0,0,0,0,36,10,0,0,28,4,0,0,36,0,0,60,0,698,0,0,9,0
SRR7146614,0,Neg,PRJNA464410,Duck,Duck,S,H,U,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,0,0,0,0,3,5,1,0,0,12,0,0,0,10,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4207,0,0,640,0,0,0,0,0,42,0,0,0,13,10,0,0,0,4,0,31,0,0,0,0,2,0
SRR7146615,0,Neg,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,0,0,0,0,0,598,107,0,0,276,0,0,0,306,0,0,0,11,0,403,18,25,39,36,27,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,195,0,0,33,0,0,0,0,0,701,43,0,0,167,165,0,0,0,0,0,1674,0,0,0,0,167,0
SRR7146616,1,Pos,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,2,0,0,0,3,0,2,0,0,529,53,0,72,0,0,162,0,0,53,0,1,0,0,1401,1,0,3,0,47,0,0,4,0,0,0,3,0,0,0,0,0,0,13,2010,0,0,102,0,0,24,10,0,0,0,2,0,0,0,0,177,0,218,31,0,0,63,0,9,0,0
SRR7146617,1,Pos,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,19,8,7,162,1989,181,0,0,0,4,0,0,637,0,380,0,0,3,0,0,40,0,5,0,0,0,62,31,13,0,0,80,0,0,0,0,0,25,15,3,5,4,0,336,148,0,79,0,0,272,31,354,0,0,14,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
SRR7146618,1,Pos,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,22,0,0,0,359,14,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,8,0,15,827,3,0,89,0,0,0,72,57,0,0,0,0,97,0,401,110,0,151,0,624,0,0,388,0,0,0,0,24,0,0,0,0,25,0,78,0,46,0,0,0,0,0,0,0,0,0
SRR7146619,1,Pos,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"SuisunMarsh/ArnoldRanch,SolanoCounty",7.0,1,0,0,0,529,0,84,0,0,0,0,0,278,0,0,201,0,0,0,0,11,0,0,0,0,0,10,2,20,0,0,12,0,0,0,0,0,0,0,0,0,8,17,1142,0,8,781,0,0,0,0,0,15,0,0,0,29,0,0,63,0,1661,0,0,0,128,0,0,0,0
SRR7146620,1,Pos,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,10,40,0,0,0,0,713,189,0,82,0,0,0,0,0,78,0,2,0,24,2476,0,0,3,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,13,29,0,0,34,15,0,223,33,7,0,0,0,0,0,0,0,128,0,864,0,0,0,0,0,0,0,0
SRR7146622,1,Pos,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,9,7,0,0,25,11,0,0,0,0,15,0,428,0,0,19,0,0,69,0,0,0,0,16,12,0,33,11,94,0,13,32,0,0,0,0,0,0,0,0,0,0,16,4040,0,4,11,0,0,0,0,0,0,0,7,0,3,0,0,46,0,31,0,8,0,15,0,0,0,0
SRR7146623,1,Pos,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,0,0,7,0,11,0,0,901,6,0,4,0,0,24,0,0,41,0,0,0,2,52,0,0,0,0,35,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2114,18,0,361,0,2,261,13,1,0,0,0,0,0,0,0,223,0,380,0,0,0,323,0,193,23,0
SRR7146624,1,Pos,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,2,0,0,0,0,0,0,3642,41,2,59,0,0,0,0,0,18,0,3,0,6,23,0,0,2,0,18,0,0,12,0,0,0,3,0,0,0,0,0,0,37,38,0,0,0,0,0,121,5,12,0,0,0,0,0,0,0,408,0,545,0,0,0,3,0,0,0,0
SRR7146625,1,Pos,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,8,0,2,0,2,0,0,0,0,492,27,0,112,0,34,66,0,0,51,0,0,0,0,431,1,0,3,2,21,0,0,8,0,0,0,0,0,0,0,0,0,0,160,2517,4,0,39,0,0,0,45,63,0,0,2,0,17,0,0,70,0,767,0,0,0,52,2,0,0,0
SRR7146626,1,Pos,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,3,0,0,0,0,0,0,1979,0,0,212,0,0,32,0,0,15,0,5,0,0,21,0,0,16,0,15,0,0,25,5,0,0,0,0,0,0,0,0,0,0,49,0,0,1,0,0,67,28,191,0,0,0,0,0,0,0,880,0,1155,0,0,0,241,0,0,54,0
SRR7146627,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,85,33,15,0,23,0,0,0,0,348,0,0,3330,0,0,0,0,0,0,0,30,0,30,0,25,0,231,3,29,0,0,188,2,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,18,0,4,14,0,0,0,0,0,0,30,0,289,0,24,0,0,0,0,0,0
SRR7146628,1,Pos,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0,0,1,0,17,2,0,0,0,612,231,0,26,0,30,85,0,0,64,0,0,0,0,425,0,0,3,0,125,0,0,2,0,0,1,17,0,0,0,0,0,0,3,1094,5,0,202,3,0,254,8,0,0,0,0,0,0,0,0,168,0,694,0,0,0,645,0,0,283,0
SRR7146629,0,Neg,PRJNA464410,Duck,Duck,FW,A,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,1,0,3,6,0,0,0,29,0,0,40,0,0,0,0,4,0,0,6,0,0,0,0,0,1,0,0,27,0,2,0,0,0,0,0,0,14,4,0,2,417,4129,0,1,257,0,2,0,0,0,0,1,7,0,0,0,5,6,11,0,0,0,0,6,10,0,6,1
SRR7146630,0,Neg,PRJNA464410,Duck,Duck,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,0,0,6,1,0,0,0,206,20,0,2,38,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3028,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,2,0,92,924,0,135,0
SRR7146631,1,Pos,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,22,6,10,0,282,1,0,0,0,0,0,0,766,0,0,620,0,0,11,0,68,0,0,14,13,0,50,4,54,0,22,22,0,0,0,29,0,15,77,3,0,9,0,1586,570,0,229,0,0,0,0,90,0,0,9,0,61,0,3,317,0,0,0,0,0,0,0,0,5,0
SRR7146632,0,Neg,PRJNA464410,Duck,Duck,FW,A,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0,0,0,0,110,0,0,0,0,84,0,0,60,115,0,0,0,24,0,0,0,0,0,0,0,0,8,6,0,0,0,10,0,5,0,0,0,0,0,0,0,0,44,1553,0,0,223,0,2,22,0,0,10,0,112,13,518,0,0,15,422,11,0,0,0,912,53,0,7,661
SRR7146633,1,Pos,PRJNA464410,Duck,Duck,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",12.0,0,0,0,0,22,0,1,4,4,32,0,0,85,0,0,0,12,0,13,0,0,0,55,550,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,904,41,0,64,0,0,9,2,0,0,0,18,0,0,1544,0,0,40,0,0,66,0,257,0,0,1254,3
