FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
3891a19987c6a02777c313d88e00d0be,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Anaerosporomusa,NA
GQ461821.1.1415,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Tissierella,NA
FAGH01000127.1.1295,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Clostridioides,NA
EU775649.1.1224,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter,NA
7199770f7f8dd84f0be92fc3156bb6f9,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Sedimentibacteraceae,Sedimentibacter,NA
EU776524.1.1264,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
FN667181.1.1433,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,NA,NA
cf42d6ef5b5f01ff0a0a2bf5b533682e,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,NA,NA
DQ326634.1.1352,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Thomasclavelia,NA
DQ799171.1.1319,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Massiliomicrobiota,NA
DQ793739.1.1403,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Merdibacter,NA
HQ452859.1.1430,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,NA,NA
GQ491803.1.1365,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,[Clostridium]_innocuum_group,NA
MH924252.1.1200,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,NA
EU460584.1.1224,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,NA
MG561907.1.1276,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,NA
MF326581.1.1216,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,NA
DQ057398.1.1389,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Shuttleworthia,NA
DQ793581.1.1384,Bacteria,Bacillota,Clostridia,Clostridia_UCG-014,Incertae_Sedis,Incertae_Sedis,NA
eef61fa20a609e0b0edda48cdc9db43d,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,NA
DQ455825.1.1446,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,ASF356,NA
HQ802642.1.1374,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,NA
HQ806146.1.1448,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575,NA
DQ794058.1.1402,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,NA
3e438fc0df6bc45da9e7806ef1932a1f,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,NA
DQ794427.1.1242,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,NA
FJ367509.1.1357,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,NA
GQ175371.1.1438,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA
f980a909308141ab17d7502f6c96d0ed,Bacteria,Bacillota,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,NA
GQ175397.1.1443,Bacteria,Bacillota,Clostridia,Oscillospirales,[Eubacterium]_coprostanoligenes_group,Incertae_Sedis,NA
EF025230.1.1453,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA
EU763235.1.1354,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,NA
DQ456166.1.1450,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor,NA
EU767235.1.1359,Bacteria,Bacillota,Clostridia,Oscillospirales,Butyricicoccaceae,UCG-009,NA
fbb2ccdf9eee6835b98ab9fad97f117a,Bacteria,Bacillota,Clostridia,Clostridia_vadinBB60_group,Incertae_Sedis,Incertae_Sedis,NA
DQ799850.1.1386,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Fournierella,NA
6a4f354262a6fbad12de693585b4e7f1,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA
DQ808123.1.1242,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Ruthenibacterium,NA
EU451487.1.1331,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus,NA
FJVJ01000015.3438.4940,Bacteria,Bacillota,Clostridia,Oscillospirales,NA,NA,NA
1978fc46fbfd9b795e153be14136a976,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,CHKCI001,NA
5d2356d8798c11abda797ab361d25f33,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
FJ981654.1.1204,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,NA
KU363872.1.1413,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Macrococcus,NA
KP966092.1.1345,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA
DQ057374.1.1386,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,NA
EU530381.1.1295,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus]_gnavus_group,NA
6a90057b6e7a186c4d4e8974cd089f3f,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,NA
EF025267.1.1453,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
a9f73cd1c850d7f999159ba5feabd9d6,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Mycoplasmataceae,NA,NA
955067ff3611dcc13ed433849d69870d,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Mycoplasmataceae,Malacoplasma,NA
7d3638a814df8118a71376d31f66bb19,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA
288a1734edef6ecef620fe0821878619,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA
4c70e0645fdca9420418aec1bd7f0627,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Incertae_Sedis,NA
KP896654.1.1291,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA
JQ207409.1.1329,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
HQ772504.1.1405,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,NA
be8b0bae43af1dafd779699064f27bec,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia,NA
20003ad708c4341bfb9325715e8a3a6e,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,NA,NA
cc71afec2b00c234459733299a21d5f5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,NA,NA,NA
EU774989.1.1390,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
cb3f260d74cc20477ad7bf268894361e,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,NA
FJ545463.1.1526,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,Seongchinamella,NA
GU179520.1.1380,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,NA
KT828543.1.1200,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
JN594631.1.1392,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,NA,NA
GU066861.1.1272,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA
AF129443.1.1436,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,NA
KP337928.1.1234,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
KF003417.1.1415,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,NA,NA
KT767906.1.1422,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia-Obesumbacterium,NA
KT026457.1.1220,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,NA,NA,NA
KX225278.1.1221,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,NA
KC108996.1.1244,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,NA,NA
KX212255.1.1200,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA
APON01000042.130541.131744,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
HM355725.1.1231,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,NA
KJ959624.1.1501,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,NA
EU537172.1.1382,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
EU705816.1.1232,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,NA
fc52caa7528d00b1f9ee139319dea276,Bacteria,Pseudomonadota,NA,NA,NA,NA,NA
JX227053.1.1493,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,NA
AY860235.1.1422,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,NA
EF444719.1.1219,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Hydrogenophilus,NA
KC836753.1.1477,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
e56acb09bca8725f6d206127a3189941,Bacteria,Bacillota,NA,NA,NA,NA,NA
HQ780723.1.1445,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Incertae_Sedis,NA
5730767d52609a76f4fe770bf14c0917,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_Ga6A1_group,NA
7ac33c05ad84021985e552b46f46b74a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
c40986076d659ca56d66bdbbe8fc06f2,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,NA
JX095969.1.1221,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,NA
2eb3b8061af5d60205d652aed9c222ed,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,NA
HQ810027.1.1241,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
LWUD01000045.4.1337,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,NA
AY995250.1.1365,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
EU600921.1.1486,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,NA
KY795327.1.1204,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
KY963445.1.1230,Bacteria,Bacillota,Bacilli,Lactobacillales,Listeriaceae,Brochothrix,NA
MG755760.1.1200,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus,NA
KU361226.1.1200,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
DI249699.1.1228,Bacteria,Bacillota,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,NA
JQ977262.1.1457,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Psychrobacillus,NA
MH447042.1.1230,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,NA
EU469931.1.1279,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Sarcina,NA
AF092548.1.1483,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
DQ793870.1.1284,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA
f21ed7dc4ea6acf7bd4cc247cf9d587a,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Fournierella,NA
EF071253.1.1234,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,NA
EU773969.1.1385,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,NA
7b071d792fea09d90d9773096db4f8c3,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
9ba9f18a6810a29f8813508c92f077cc,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Caecibacterium,NA
EU467577.1.1369,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,NA
793757b64114f95de1385e9eb5989cf9,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA
AB058250.1.1257,Bacteria,Cyanobacteriota,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,NA
KX014141.1.1442,Bacteria,Cyanobacteriota,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,NA
MF498280.1.1204,Bacteria,Cyanobacteriota,Cyanobacteriia,Synechococcales,Cyanobiaceae,NA,NA
KC002024.1.1313,Bacteria,Cyanobacteriota,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA
5d6d106cf5de9268d7e4703d6a6a6241,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
EU132593.1.1277,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
6002421ea9f083767028447e83574ee2,Bacteria,Actinomycetota,Acidimicrobiia,Actinomarinales,Incertae_Sedis,Incertae_Sedis,NA
EU802571.1.1254,Bacteria,Actinomycetota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA
428e3d450aadbf2928c370c30bf67032,Bacteria,Actinomycetota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
MH718771.1.1217,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Nocardiaceae,Rhodococcus,NA
HE616180.1.1444,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
KF086785.1.1341,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Lawsonella,NA
JQ855614.1.1252,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,NA
JQ014317.1.1286,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA,NA
GFIM01005958.9.1236,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA
087eb6a26342b22cd8733d62442e6a62,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,NA
943c2b9555821bc4e0459be805be9d4b,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA
EA273498.76.1346,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
JQ196333.1.1311,Bacteria,Pseudomonadota,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA,NA
d2ef7dbb878e42f09d78a90e19f54bf6,Bacteria,Pseudomonadota,Alphaproteobacteria,Elsterales,Incertae_Sedis,Incertae_Sedis,NA
HM057714.1.1504,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Ascidiaceihabitans,NA
KX508703.1.1428,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rubellimicrobium,NA
06dafa84b8565aab4ca0bf46d4cc3c63,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Incertae_Sedis,NA
LN680489.1.1289,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Phyllobacterium,NA
KT380570.1.1379,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Brucella,NA
KF580866.1.1360,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Shinella,NA
KP214597.3.1209,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,NA
a3619e4bd3465b6a2aa9638acd081cd2,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
MG572015.1.1234,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Pseudochrobactrum,NA
eb2a6f290f9640aa35652863ce0c2684,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Croceibacterium,NA
KU053645.1.1448,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
JF145649.1.1306,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
569e41cdb450ced9aaf87abc387fc8f6,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
3a730178fb4cb3b40dd3fda590373475,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Pseudolabrys,NA
KJ569212.1.1385,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylobacterium,NA
4966214a7565ba69a46597265edc5fc6,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA
e5eb02f3feb9b1b80a85843d37566c6a,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
736f2237cf9ec2cfcaa5645263c92bca,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,NA,NA
ef4b9171648179be3a8fb9699fbb94bd,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,NA
a13d2ac851c652f379103eb69ff1bc14,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
408c8c2da176e400b44ff317ac0876d3,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_Ga6A1_group,NA
282df84e87013a21e2f3d41c9042f9d6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
32018bce7db6443bd285f8b95338da67,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Incertae_Sedis,NA
8ef7520d749a002ff44b11ee16c27f1b,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
c465f577ff4ace3e12a8479197bd7198,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
8e7f285d81ef2b399b0301d21e6061e5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA
5c1b884fe5810b2c1045bf75572ef12f,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,H1,NA
2c4bfc1c3d5e6ce1ac21afc5c61b24d6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,NA
63d393fc0e99dd18542fb1d4b2af0cbf,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
81d6cbdbc40e34b1d58319f78d4860c3,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,NA
4c9ad755e11e8a1a091959f1e73c9d0c,Bacteria,Actinomycetota,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,NA
