SampleID,label,Influenza,BioProject,HostGroup,HostType,SampleContext,Season,Age,Sex,Feeding,Species,Location,month
SRR12148814_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148815_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148817_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148818_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148819_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148820_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148821_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148822_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148823_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148824_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148825_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148826_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148828_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148829_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148830_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148831_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148832_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148833_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148834_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148835_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148836_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148837_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148839_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148840_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148841_merged,1,Pos,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148845_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148846_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148847_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148848_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148849_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148850_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148851_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148852_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148853_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148854_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148855_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR12148856_merged,0,Neg,PRJNA644054,Poultry,Turkey,Experimental,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409218,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409219,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409220,0,Neg,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409221,0,Neg,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409222,0,Neg,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409223,0,Neg,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409224,0,Neg,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409225,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409226,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409227,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409228,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409229,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409230,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409231,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR4409232,1,Pos,PRJNA347583,Swan,WhooperSwan,Wild,__missing__,__missing__,__missing__,__missing__,__missing__,__missing__,
SRR7146574,1,Pos,PRJNA464410,Duck,Duck,Wild,S,A,M,dabbling,Anasplatyrhynchos,"MandevilleIsland,SanJoaquinCounty",8.0
SRR7146575,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146576,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,A,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146577,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,H,F,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146578,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"SuisunMarsh/Sunrise,SolanoCounty",7.0
SRR7146580,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146581,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146582,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146583,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146584,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146585,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146587,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146588,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,F,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",12.0
SRR7146589,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",12.0
SRR7146590,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",12.0
SRR7146591,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,H,U,dabbling,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",10.0
SRR7146592,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"ConawayRanch,YoloCounty",11.0
SRR7146593,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,F,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",11.0
SRR7146595,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,F,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",11.0
SRR7146596,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anascarolinensis,"ConawayRanch,YoloCounty",11.0
SRR7146598,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,H,M,dabbling,Anasacuta,"ConawayRanch,YoloCounty",11.0
SRR7146599,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasplatyrhynchos,"ConawayRanch,YoloCounty",11.0
SRR7146601,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,H,F,dabbling,Anascarolinensis,"ConawayRanch,YoloCounty",10.0
SRR7146602,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,H,M,dabbling,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",10.0
SRR7146603,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146604,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146605,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146606,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146607,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146608,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146610,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146611,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146612,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146613,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,H,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",10.0
SRR7146614,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,U,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146615,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146616,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146617,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146618,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146619,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"SuisunMarsh/ArnoldRanch,SolanoCounty",7.0
SRR7146620,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146622,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146623,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146624,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146625,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146626,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146627,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146628,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146629,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,A,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146630,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146631,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146632,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,A,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146633,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",12.0
SRR7146635,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146636,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146637,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,F,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",12.0
SRR7146638,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,F,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",12.0
SRR7146639,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,F,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",12.0
SRR7146640,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146641,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"SuisunMarsh/Balboa,SolanoCounty",7.0
SRR7146642,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"SuisunMarsh/Balboa,SolanoCounty",7.0
SRR7146643,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"SuisunMarsh/Balboa,SolanoCounty",7.0
SRR7146644,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146645,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"SuisunMarsh/Balboa,SolanoCounty",7.0
SRR7146646,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,H,F,dabbling,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146648,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anascarolinensis,"ConawayRanch,YoloCounty",12.0
SRR7146649,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146650,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146651,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146653,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146654,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146655,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146656,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146657,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146658,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146659,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",10.0
SRR7146660,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",10.0
SRR7146661,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,H,F,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",10.0
SRR7146662,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,A,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",11.0
SRR7146663,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,H,F,dabbling,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",11.0
SRR7146665,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146666,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146667,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146668,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146671,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146672,1,Pos,PRJNA464410,Duck,Duck,Wild,S,A,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146674,1,Pos,PRJNA464410,Duck,Duck,Wild,FW,U,F,dabbling,Anascarolinensis,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",10.0
SRR7146675,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"SuisunMarsh/Balboa,SolanoCounty",7.0
SRR7146676,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146677,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146678,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146679,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146680,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0
SRR7146683,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146684,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,dabbling,Anasacuta,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146685,0,Neg,PRJNA464410,Duck,Duck,Wild,FW,U,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0
SRR7146686,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146687,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146688,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"SuisunMarsh/Balboa,SolanoCounty",7.0
SRR7146690,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146691,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146692,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146693,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146694,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146696,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146697,0,Neg,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146698,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
SRR7146699,1,Pos,PRJNA464410,Duck,Duck,Wild,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",8.0
